"Story","Title","Result","Date","Stability","Duration (s)"
"Reqresin","Success GET Users","SUCCESS","2022-04-07T20:12:57.871+07:00[Asia/Bangkok]","0.0","3.86"
"Reqresin","Success POST login","SUCCESS","2022-04-07T20:13:01.74+07:00[Asia/Bangkok]","0.0","0.63"
"Reqresin","Success PUT update","SUCCESS","2022-04-07T20:13:02.372+07:00[Asia/Bangkok]","0.0","0.6"
"Reqresin","Success DELETE user","SUCCESS","2022-04-07T20:13:02.978+07:00[Asia/Bangkok]","0.0","0.58"
"Reqresin","Unsuccess POST Register","SUCCESS","2022-04-07T20:13:03.564+07:00[Asia/Bangkok]","0.0","0.61"
"Reqresin","Success POST Register","SUCCESS","2022-04-07T20:13:04.179+07:00[Asia/Bangkok]","0.0","0.61"
"Reqresin","Success POST Create","SUCCESS","2022-04-07T20:13:04.799+07:00[Asia/Bangkok]","0.0","0.67"
